phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/agents/risk-officer/,Publish the operating contract for the Risk Officer agent role.,Risk Officer agent,Informational and implementation-oriented,Risk Officer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Risk Officer agent?; What inputs and outputs does Risk Officer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/routine-worker/,Publish the operating contract for the Routine Worker agent role.,Routine Worker agent,Informational and implementation-oriented,Routine Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Routine Worker agent?; What inputs and outputs does Routine Worker require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/schema-auditor/,Publish the operating contract for the Schema Auditor agent role.,Schema Auditor agent,Informational and implementation-oriented,Schema Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Schema Auditor agent?; What inputs and outputs does Schema Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-performance-analyst/,Publish the operating contract for the Search Performance Analyst agent role.,Search Performance Analyst agent,Informational and implementation-oriented,Search Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Search Performance Analyst agent?; What inputs and outputs does Search Performance Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-submission-operator/,Publish the operating contract for the Search Submission Operator agent role.,Search Submission Operator agent,Informational and implementation-oriented,Search Submission Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Search Submission Operator agent?; What inputs and outputs does Search Submission Operator require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-web-standards-watch/,Publish the operating contract for the Search & Web Standards Watch agent role.,Search & Web Standards Watch agent,Informational and implementation-oriented,Search & Web Standards Watch AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Search & Web Standards Watch agent?; What inputs and outputs does Search & Web Standards Watch require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/security-reviewer/,Publish the operating contract for the Security Reviewer agent role.,Security Reviewer agent,Informational and implementation-oriented,Security Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Security Reviewer agent?; What inputs and outputs does Security Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/seo-auditor/,Publish the operating contract for the SEO Auditor agent role.,SEO Auditor agent,Informational and implementation-oriented,SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a SEO Auditor agent?; What inputs and outputs does SEO Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/site-qa-operator/,Publish the operating contract for the Site QA Operator agent role.,Site QA Operator agent,Informational and implementation-oriented,Site QA Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Site QA Operator agent?; What inputs and outputs does Site QA Operator require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/sitrep-agent/,Publish the operating contract for the SITREP Agent agent role.,SITREP Agent agent,Informational and implementation-oriented,SITREP Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a SITREP Agent agent?; What inputs and outputs does SITREP Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/social-community-editor/,Publish the operating contract for the Social & Community Editor agent role.,Social & Community Editor agent,Informational and implementation-oriented,Social & Community Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Social & Community Editor agent?; What inputs and outputs does Social & Community Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/spec-writer/,Publish the operating contract for the Spec Writer agent role.,Spec Writer agent,Informational and implementation-oriented,Spec Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Spec Writer agent?; What inputs and outputs does Spec Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/standards-evidence-editor/,Publish the operating contract for the Standards & Evidence Editor agent role.,Standards & Evidence Editor agent,Informational and implementation-oriented,Standards & Evidence Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Standards & Evidence Editor agent?; What inputs and outputs does Standards & Evidence Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/systems-architect/,Publish the operating contract for the Systems Architect agent role.,Systems Architect agent,Informational and implementation-oriented,Systems Architect AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Systems Architect agent?; What inputs and outputs does Systems Architect require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/technical-editor-writer/,Publish the operating contract for the Technical Editor & Writer agent role.,Technical Editor & Writer agent,Informational and implementation-oriented,Technical Editor & Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Technical Editor & Writer agent?; What inputs and outputs does Technical Editor & Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/technical-seo-auditor/,Publish the operating contract for the Technical SEO Auditor agent role.,Technical SEO Auditor agent,Informational and implementation-oriented,Technical SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Technical SEO Auditor agent?; What inputs and outputs does Technical SEO Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/test-runner/,Publish the operating contract for the Test Runner agent role.,Test Runner agent,Informational and implementation-oriented,Test Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Test Runner agent?; What inputs and outputs does Test Runner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/tooling-developer/,Publish the operating contract for the Tooling Developer agent role.,Tooling Developer agent,Informational and implementation-oriented,Tooling Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Tooling Developer agent?; What inputs and outputs does Tooling Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/trend-scout/,Publish the operating contract for the Trend Scout agent role.,Trend Scout agent,Informational and implementation-oriented,Trend Scout AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Trend Scout agent?; What inputs and outputs does Trend Scout require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/triage-agent/,Publish the operating contract for the Triage Agent agent role.,Triage Agent agent,Informational and implementation-oriented,Triage Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Triage Agent agent?; What inputs and outputs does Triage Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/video-audio-producer/,Publish the operating contract for the Video & Audio Producer agent role.,Video & Audio Producer agent,Informational and implementation-oriented,Video & Audio Producer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Video & Audio Producer agent?; What inputs and outputs does Video & Audio Producer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/visual-qa-agent/,Publish the operating contract for the Visual QA Agent agent role.,Visual QA Agent agent,Informational and implementation-oriented,Visual QA Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Visual QA Agent agent?; What inputs and outputs does Visual QA Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/webops/,Help readers browse and compare source-grounded agent roles.,WebOps,Informational and navigational,WebOps agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which webops role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/webops-reporter/,Publish the operating contract for the WebOps Reporter agent role.,WebOps Reporter agent,Informational and implementation-oriented,WebOps Reporter AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a WebOps Reporter agent?; What inputs and outputs does WebOps Reporter require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/,Introduce the Kujo Agents library and route readers to agent sets and source contracts.,Kujo Agents,Branded informational and navigational,Kujo AI agent library,AI agent contracts; chain of command; specialized agent roles,Kujo; AI agents; agent contracts; multi-agent workflows,What is Kujo Agents?; Which specialist agent should I use?,,No adoption examples or measured outcomes are published.,Keep the overview concise; add real adoption examples only when evidence exists.
