phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://agents.kujolang.ai/agents/product-strategist/,content/agents/product-strategist.md,agent,Publish the operating contract for the Product Strategist agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Product Strategist agent,Product Strategist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Product Strategist,h1:Product Strategist | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,387,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/qa-lead/,content/agents/qa-lead.md,agent,Publish the operating contract for the QA Lead agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,QA Lead agent,QA Lead AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,QA Lead,h1:QA Lead | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,367,,2026-07-25,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/receipt-collector/,content/agents/receipt-collector.md,agent,Publish the operating contract for the Receipt Collector agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Receipt Collector agent,Receipt Collector AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Receipt Collector,h1:Receipt Collector | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,341,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/release-verifier/,content/agents/release-verifier.md,agent,Publish the operating contract for the Release Verifier agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Release Verifier agent,Release Verifier AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Release Verifier,h1:Release Verifier | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,375,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/research-analyst/,content/agents/research-analyst.md,agent,Publish the operating contract for the Research Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Research Analyst agent,Research Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Research Analyst,h1:Research Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,380,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/risk-officer/,content/agents/risk-officer.md,agent,Publish the operating contract for the Risk Officer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Risk Officer agent,Risk Officer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Risk Officer,h1:Risk Officer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,375,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/routine-worker/,content/agents/routine-worker.md,agent,Publish the operating contract for the Routine Worker agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Routine Worker agent,Routine Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Routine Worker,h1:Routine Worker | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,335,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/schema-auditor/,content/agents/schema-auditor.md,agent,Publish the operating contract for the Schema Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Schema Auditor agent,Schema Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Schema Auditor,h1:Schema Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,587,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-performance-analyst/,content/agents/search-performance-analyst.md,agent,Publish the operating contract for the Search Performance Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Search Performance Analyst agent,Search Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Search Performance Analyst,h1:Search Performance Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,585,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-submission-operator/,content/agents/search-submission-operator.md,agent,Publish the operating contract for the Search Submission Operator agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Search Submission Operator agent,Search Submission Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Search Submission Operator,h1:Search Submission Operator | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,600,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-web-standards-watch/,content/agents/search-web-standards-watch.md,agent,Publish the operating contract for the Search & Web Standards Watch agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Search & Web Standards Watch agent,Search & Web Standards Watch AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Search & Web Standards Watch,h1:Search & Web Standards Watch | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,592,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/security-reviewer/,content/agents/security-reviewer.md,agent,Publish the operating contract for the Security Reviewer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Security Reviewer agent,Security Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Security Reviewer,h1:Security Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,380,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/seo-auditor/,content/agents/seo-auditor.md,agent,Publish the operating contract for the SEO Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,SEO Auditor agent,SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,SEO Auditor,h1:SEO Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,593,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/site-qa-operator/,content/agents/site-qa-operator.md,agent,Publish the operating contract for the Site QA Operator agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Site QA Operator agent,Site QA Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Site QA Operator,h1:Site QA Operator | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,604,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/sitrep-agent/,content/agents/sitrep-agent.md,agent,Publish the operating contract for the SITREP Agent agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,SITREP Agent agent,SITREP Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,SITREP Agent,h1:SITREP Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,311,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/spec-writer/,content/agents/spec-writer.md,agent,Publish the operating contract for the Spec Writer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Spec Writer agent,Spec Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Spec Writer,h1:Spec Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,348,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/systems-architect/,content/agents/systems-architect.md,agent,Publish the operating contract for the Systems Architect agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Systems Architect agent,Systems Architect AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Systems Architect,h1:Systems Architect | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,375,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/technical-seo-auditor/,content/agents/technical-seo-auditor.md,agent,Publish the operating contract for the Technical SEO Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Technical SEO Auditor agent,Technical SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Technical SEO Auditor,h1:Technical SEO Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,584,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/test-runner/,content/agents/test-runner.md,agent,Publish the operating contract for the Test Runner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Test Runner agent,Test Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Test Runner,h1:Test Runner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,287,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/tooling-developer/,content/agents/tooling-developer.md,agent,Publish the operating contract for the Tooling Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Tooling Developer agent,Tooling Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Tooling Developer,h1:Tooling Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,361,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/trend-scout/,content/agents/trend-scout.md,agent,Publish the operating contract for the Trend Scout agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Trend Scout agent,Trend Scout AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Trend Scout,h1:Trend Scout | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,585,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/triage-agent/,content/agents/triage-agent.md,agent,Publish the operating contract for the Triage Agent agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Triage Agent agent,Triage Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Triage Agent,h1:Triage Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,759,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/visual-qa-agent/,content/agents/visual-qa-agent.md,agent,Publish the operating contract for the Visual QA Agent agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Visual QA Agent agent,Visual QA Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Visual QA Agent,h1:Visual QA Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,383,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/webops/,templates/page-agent-set.html,listing,Help readers browse and compare source-grounded agent roles.,Informational and navigational,Developers and technical leads assembling agent teams,WebOps,WebOps agent roles,agent responsibilities; orchestration; planning; implementation; verification,WebOps,h1:WebOps,674,,,Repository-generated inventory and direct links to source contracts.,The listing explains roles through excerpts but has no selection guide or real usage examples.,,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/webops-reporter/,content/agents/webops-reporter.md,agent,Publish the operating contract for the WebOps Reporter agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,WebOps Reporter agent,WebOps Reporter AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,WebOps Reporter,h1:WebOps Reporter | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,610,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/,templates/page-home.html,home,Introduce the Kujo Agents library and route readers to agent sets and source contracts.,Branded informational and navigational,Developers and teams designing auditable multi-agent workflows,Kujo Agents,Kujo AI agent library,AI agent contracts; chain of command; specialized agent roles,Kujo Agents,h1:Kujo Agents | h2:Chain of Command | h2:WebOps,1305,,,Repository-generated inventory and direct links to source contracts.,No adoption examples or measured outcomes are published.,,Keep the overview concise; add real adoption examples only when evidence exists.
