phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://agents.kujolang.ai/agents/franchise-adaptation-editor/,content/agents/franchise-adaptation-editor.md,agent,Publish the operating contract for the Franchise & Adaptation Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Franchise & Adaptation Editor agent,Franchise & Adaptation Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Franchise & Adaptation Editor,h1:Franchise & Adaptation Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,547,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/frontend-developer/,content/agents/frontend-developer.md,agent,Publish the operating contract for the Frontend Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Frontend Developer agent,Frontend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Frontend Developer,h1:Frontend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,397,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/general-commander/,content/agents/general-commander.md,agent,Publish the operating contract for the General Commander agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,General Commander agent,General Commander AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,General Commander,h1:General Commander | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,481,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/,templates/page-agents.html,listing,Help readers browse and compare source-grounded agent roles.,Informational and navigational,Developers and technical leads assembling agent teams,Agents,Agents agent roles,agent responsibilities; orchestration; planning; implementation; verification,Agents,h1:Agents | h2:Chain of Command | h2:WebOps | h2:Publishing House,1898,,,Repository-generated inventory and direct links to source contracts.,The listing explains roles through excerpts but has no selection guide or real usage examples.,,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/indexation-analyst/,content/agents/indexation-analyst.md,agent,Publish the operating contract for the Indexation Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Indexation Analyst agent,Indexation Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Indexation Analyst,h1:Indexation Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,586,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,content/agents/information-architecture-auditor.md,agent,Publish the operating contract for the Information Architecture Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Information Architecture Auditor agent,Information Architecture Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Information Architecture Auditor,h1:Information Architecture Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,603,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/integration-engineer/,content/agents/integration-engineer.md,agent,Publish the operating contract for the Integration Engineer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Integration Engineer agent,Integration Engineer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Integration Engineer,h1:Integration Engineer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,368,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/internal-link-specialist/,content/agents/internal-link-specialist.md,agent,Publish the operating contract for the Internal Link Specialist agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Internal Link Specialist agent,Internal Link Specialist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Internal Link Specialist,h1:Internal Link Specialist | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,616,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,content/agents/issue-hygiene-worker.md,agent,Publish the operating contract for the Issue Hygiene Worker agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Issue Hygiene Worker agent,Issue Hygiene Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Issue Hygiene Worker,h1:Issue Hygiene Worker | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,330,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,content/agents/keyword-opportunity-analyst.md,agent,Publish the operating contract for the Keyword Opportunity Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Keyword Opportunity Analyst agent,Keyword Opportunity Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Keyword Opportunity Analyst,h1:Keyword Opportunity Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,616,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/link-health-auditor/,content/agents/link-health-auditor.md,agent,Publish the operating contract for the Link Health Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Link Health Auditor agent,Link Health Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Link Health Auditor,h1:Link Health Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,606,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/lint-runner/,content/agents/lint-runner.md,agent,Publish the operating contract for the Lint Runner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Lint Runner agent,Lint Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Lint Runner,h1:Lint Runner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,288,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/managing-editor/,content/agents/managing-editor.md,agent,Publish the operating contract for the Managing Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Managing Editor agent,Managing Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Managing Editor,h1:Managing Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,520,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/metadata-auditor/,content/agents/metadata-auditor.md,agent,Publish the operating contract for the Metadata Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Metadata Auditor agent,Metadata Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Metadata Auditor,h1:Metadata Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,600,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/newsletter-editor/,content/agents/newsletter-editor.md,agent,Publish the operating contract for the Newsletter Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Newsletter Editor agent,Newsletter Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Newsletter Editor,h1:Newsletter Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,529,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/performance-analyst/,content/agents/performance-analyst.md,agent,Publish the operating contract for the Performance Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Performance Analyst agent,Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Performance Analyst,h1:Performance Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,604,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/planner/,content/agents/planner.md,agent,Publish the operating contract for the Planner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Planner agent,Planner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Planner,h1:Planner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,325,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/product-strategist/,content/agents/product-strategist.md,agent,Publish the operating contract for the Product Strategist agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Product Strategist agent,Product Strategist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Product Strategist,h1:Product Strategist | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,405,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/production-editor/,content/agents/production-editor.md,agent,Publish the operating contract for the Production Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Production Editor agent,Production Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Production Editor,h1:Production Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,549,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/publisher/,content/agents/publisher.md,agent,Publish the operating contract for the Publisher agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Publisher agent,Publisher AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Publisher,h1:Publisher | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,536,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/publishing-house/,templates/page-agent-set.html,listing,Help readers browse and compare source-grounded agent roles.,Informational and navigational,Developers and technical leads assembling agent teams,Publishing House,Publishing House agent roles,agent responsibilities; orchestration; planning; implementation; verification,Publishing House,h1:Publishing House | h2:Agents are one layer of the house,663,,,Repository-generated inventory and direct links to source contracts.,The listing explains roles through excerpts but has no selection guide or real usage examples.,,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/publishing-operations-director/,content/agents/publishing-operations-director.md,agent,Publish the operating contract for the Publishing Operations Director agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Publishing Operations Director agent,Publishing Operations Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Publishing Operations Director,h1:Publishing Operations Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,566,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/qa-lead/,content/agents/qa-lead.md,agent,Publish the operating contract for the QA Lead agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,QA Lead agent,QA Lead AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,QA Lead,h1:QA Lead | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,385,,2026-07-25,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/receipt-collector/,content/agents/receipt-collector.md,agent,Publish the operating contract for the Receipt Collector agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Receipt Collector agent,Receipt Collector AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Receipt Collector,h1:Receipt Collector | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,359,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/release-verifier/,content/agents/release-verifier.md,agent,Publish the operating contract for the Release Verifier agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Release Verifier agent,Release Verifier AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Release Verifier,h1:Release Verifier | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,393,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/research-analyst/,content/agents/research-analyst.md,agent,Publish the operating contract for the Research Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Research Analyst agent,Research Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Research Analyst,h1:Research Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,398,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/risk-officer/,content/agents/risk-officer.md,agent,Publish the operating contract for the Risk Officer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Risk Officer agent,Risk Officer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Risk Officer,h1:Risk Officer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,393,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/routine-worker/,content/agents/routine-worker.md,agent,Publish the operating contract for the Routine Worker agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Routine Worker agent,Routine Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Routine Worker,h1:Routine Worker | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,353,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/schema-auditor/,content/agents/schema-auditor.md,agent,Publish the operating contract for the Schema Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Schema Auditor agent,Schema Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Schema Auditor,h1:Schema Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,605,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-performance-analyst/,content/agents/search-performance-analyst.md,agent,Publish the operating contract for the Search Performance Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Search Performance Analyst agent,Search Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Search Performance Analyst,h1:Search Performance Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,603,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-submission-operator/,content/agents/search-submission-operator.md,agent,Publish the operating contract for the Search Submission Operator agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Search Submission Operator agent,Search Submission Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Search Submission Operator,h1:Search Submission Operator | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,618,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-web-standards-watch/,content/agents/search-web-standards-watch.md,agent,Publish the operating contract for the Search & Web Standards Watch agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Search & Web Standards Watch agent,Search & Web Standards Watch AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Search & Web Standards Watch,h1:Search & Web Standards Watch | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,610,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/security-reviewer/,content/agents/security-reviewer.md,agent,Publish the operating contract for the Security Reviewer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Security Reviewer agent,Security Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Security Reviewer,h1:Security Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,398,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/seo-auditor/,content/agents/seo-auditor.md,agent,Publish the operating contract for the SEO Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,SEO Auditor agent,SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,SEO Auditor,h1:SEO Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,611,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/site-qa-operator/,content/agents/site-qa-operator.md,agent,Publish the operating contract for the Site QA Operator agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Site QA Operator agent,Site QA Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Site QA Operator,h1:Site QA Operator | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,622,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
